//----------------------------------------------------------------------
// Created with uvmf_gen version 2023.4
//----------------------------------------------------------------------
// pragma uvmf custom header begin
// pragma uvmf custom header end
//----------------------------------------------------------------------
//----------------------------------------------------------------------
//

,
Interface Description, Interface Type, Interface Transaction, Interface Name,
fe_env_in_agent, fetch_in_driver_bfm fetch_in_monitor_bfm, fetch_in_transaction, fetch_in_pkg_fe_env_in_agent_BFM,
fe_env_out_agent, fetch_out_driver_bfm fetch_out_monitor_bfm, fetch_out_transaction, fetch_out_pkg_fe_env_out_agent_BFM,
de_env_agent_in, decode_in_driver_bfm decode_in_monitor_bfm, decode_in_transaction, decode_in_pkg_de_env_agent_in_BFM,
de_env_agent_out, decode_out_driver_bfm decode_out_monitor_bfm, decode_out_transaction, decode_out_pkg_de_env_agent_out_BFM,
ex_env_agent_in, execute_in_driver_bfm execute_in_monitor_bfm, execute_in_transaction, execute_in_pkg_ex_env_agent_in_BFM,
ex_env_agent_out, execute_out_driver_bfm execute_out_monitor_bfm, execute_out_transaction, execute_out_pkg_ex_env_agent_out_BFM,
wb_env_agent_in, write_back_in_driver_bfm write_back_in_monitor_bfm, write_back_in_transaction, write_back_in_pkg_wb_env_agent_in_BFM,
wb_env_agent_out, write_back_out_driver_bfm write_back_out_monitor_bfm, write_back_out_transaction, write_back_out_pkg_wb_env_agent_out_BFM,
ctrl_env_agent_in, control_in_driver_bfm control_in_monitor_bfm, control_in_transaction, control_in_pkg_ctrl_env_agent_in_BFM,
ctrl_env_agent_out, control_out_driver_bfm control_out_monitor_bfm, control_out_transaction, control_out_pkg_ctrl_env_agent_out_BFM,
memacc_env_agent_in, memaccess_in_driver_bfm memaccess_in_monitor_bfm, memaccess_in_transaction, memaccess_in_pkg_memacc_env_agent_in_BFM,
memacc_env_agent_out, memaccess_out_driver_bfm memaccess_out_monitor_bfm, memaccess_out_transaction, memaccess_out_pkg_memacc_env_agent_out_BFM,
Instruction, instruction_memory_driver_bfm instruction_memory_monitor_bfm, instruction_memory_transaction, instruction_memory_pkg_Instruction_BFM,
Data, data_memory_driver_bfm data_memory_monitor_bfm, data_memory_transaction, data_memory_pkg_Data_BFM,

